City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,bijawar,24.6333,79.5,21.59,33,99,2.45,IN,2024-01-30 23:58:57-05:00
303,kerikeri,-35.2268,173.9474,22.88,71,70,1.71,NZ,2024-01-30 23:58:58-05:00
304,hayrabolu,41.2131,27.1069,1.77,87,89,6.24,TR,2024-01-30 23:55:21-05:00
305,andergrove,-21.0833,149.1833,33.14,82,83,5.13,AU,2024-01-30 23:58:58-05:00
306,tympaki,35.0729,24.7685,6.98,92,100,2.84,GR,2024-01-30 23:58:59-05:00
307,snyder,32.7179,-100.9176,12.19,40,0,3.6,US,2024-01-30 23:58:59-05:00
308,noumea,-22.2763,166.4572,31.99,67,52,5.86,NC,2024-01-30 23:57:01-05:00
309,salym,60.0625,71.4789,-13.2,95,100,3.7,RU,2024-01-30 23:59:01-05:00
310,dolores,-36.3132,-57.6792,20.65,76,51,3.56,AR,2024-01-30 23:59:01-05:00
311,tobruk,32.0836,23.9764,11.02,67,99,13.65,LY,2024-01-30 23:59:02-05:00
312,santa marta,11.2408,-74.199,27.72,71,68,7.15,CO,2024-01-30 23:58:16-05:00
313,lihue,21.9789,-159.3672,22.77,77,75,3.09,US,2024-01-30 23:59:04-05:00
314,zapala,-38.8992,-70.0544,15.69,33,5,0.08,AR,2024-01-30 23:59:04-05:00
315,sao felix do xingu,-6.6447,-51.995,22.01,95,98,0.21,BR,2024-01-30 23:59:04-05:00
316,colonia,50.9333,6.95,7.76,85,100,2.57,DE,2024-01-30 23:54:35-05:00
317,mobaye,4.319,21.1786,22.02,46,96,1.34,CF,2024-01-30 23:59:06-05:00
318,singkil,-7.9855,111.4161,30.6,68,23,1.48,ID,2024-01-30 23:59:06-05:00
319,sena madureira,-9.0656,-68.6569,23.57,98,100,0.73,BR,2024-01-30 23:59:07-05:00
320,ringkobing,56.0901,8.244,3.9,86,25,8.78,DK,2024-01-30 23:59:07-05:00
321,melfort,52.8667,-104.6177,5.07,60,88,6.69,CA,2024-01-30 23:59:07-05:00
322,bandarbeyla,9.4942,50.8122,26.15,61,82,5.17,SO,2024-01-30 23:59:08-05:00
323,praia da vitoria,38.7333,-27.0667,13.2,100,40,2.11,PT,2024-01-30 23:59:08-05:00
324,laguna,38.421,-121.4238,16.67,73,0,1.54,US,2024-01-30 23:59:09-05:00
325,muisne,0.6,-80.0333,25.23,92,100,2.43,EC,2024-01-30 23:59:09-05:00
326,greymouth,-42.4667,171.2,18.37,75,29,2.82,NZ,2024-01-30 23:59:10-05:00
327,cidreira,-30.1811,-50.2056,19.19,94,17,3.1,BR,2024-01-30 23:59:10-05:00
328,san luis de la loma,17.2706,-100.8939,24.93,79,100,1.21,MX,2024-01-30 23:59:11-05:00
329,huilong,31.8111,121.655,9.03,97,100,2.6,CN,2024-01-30 23:59:11-05:00
330,itanhem,-17.1664,-40.33,23.33,92,100,1.43,BR,2024-01-30 23:59:12-05:00
331,vilyuchinsk,52.9306,158.4028,-9.85,72,100,2.17,RU,2024-01-30 23:59:13-05:00
332,williamston,35.8546,-77.0555,5.0,85,78,3.07,US,2024-01-30 23:59:13-05:00
333,chinchilla,-26.75,150.6333,31.12,55,32,4.02,AU,2024-01-30 23:59:14-05:00
334,midelt,32.6852,-4.7451,4.82,40,0,1.12,MA,2024-01-30 23:59:14-05:00
335,lerwick,60.1545,-1.1494,8.0,80,100,15.72,GB,2024-01-30 23:59:15-05:00
336,luganville,-15.5333,167.1667,28.71,77,68,1.52,VU,2024-01-30 23:59:15-05:00
337,bocaiuva,-17.1078,-43.815,21.84,96,100,1.39,BR,2024-01-30 23:59:16-05:00
338,saint-louis,16.3333,-15.0,18.8,13,0,5.0,SN,2024-01-30 23:59:16-05:00
339,cafayate,-26.073,-65.9761,23.15,59,94,2.53,AR,2024-01-30 23:59:17-05:00
340,fale old settlement,-9.3852,-171.2468,29.8,68,36,1.56,TK,2024-01-30 23:59:18-05:00
341,ust-nera,64.5667,143.2,-29.26,98,100,2.16,RU,2024-01-30 23:59:18-05:00
342,pechora,65.1472,57.2244,-12.04,99,95,1.86,RU,2024-01-30 23:54:37-05:00
343,leava,-14.3,-178.1667,29.38,83,94,7.26,WF,2024-01-30 23:59:19-05:00
344,sisimiut,66.9395,-53.6735,-19.3,75,100,5.91,GL,2024-01-30 23:59:20-05:00
345,angra do heroismo,38.65,-27.2167,13.4,94,40,0.45,PT,2024-01-30 23:59:20-05:00
346,kinablangan,7.6947,126.5503,25.91,91,100,4.35,PH,2024-01-30 23:59:21-05:00
